Bno,Bname,Author,price,publ,qty,d_o_purchase
204,THE INDIAN REVOLUTION,MOHIT SEN,83,"PEOPLE'S PUBLISHING HOUSE, NEW DELHI",5,1970
205,"VIEWS IN THE EAST, INDIA CANTONMENT",CAPTAIN ROBERT ELLIOT R.N.,,"H. FISHER SON & CO., LONDON",3,1835
206,PANJAB UNDER THE SULTANS (1000-1526 A.D.,BAKSHISH SINGH NIJJR,253,"SH. S.K. GHAI, STERLING PUBLISHERS (P) LTD. DELHI",2,1968
207,AN ORIENTAL BIOGRAPHICAL DICTIONARY,HENRY GEORGE KEENE,431,W. H. ALLEN & CO. LONDON,5,1894
208,ASSAM DISTRICT GAZETTEERS,B.P.CHALIHA,424,"GOVERNMENT OF ASSAM, SHILLONG ASSAM",3,1967
209,FORT WILLIAM-INDIA HOUSE CORRESPONDENCE,BISHESHWAR PRASAD,530,"NATIONAL ARCHIVES OF INDIA, NEW DELHI",2,1975
210,FORT WILLIAM-INDIA HOUSE CORRESPONDENCE,RAGHUBIR SINGH,761,"NATIONAL ARCHIVES OF INDIA, NEW DELHI",2,1972
211,FORT WILLIAM-INDIA HOUSE CORRESPONDENCE,R.P. PATWARDHAN,647,"NATIONAL ARCHIVES OF INDIA, NEW DELHI",3,1971
212,HISTORY OF FREEDOM STRUGGLE IN PRINCELY STATE,R.L. HANDA,414,"CENTRAL NEWS AGENCY, NEW DELHI",2,1968
213,GETTING TO KNOW DELHI,R.L. HANDA,160,AMERICAN WOMEN'S CLUB,4,1967
214,THE MUGHAL NOBILITY UNDER AURANGZEEB,M. ATHAR ALI,294,"R. GOPALAKRISHNAN, NEW DELHI",4,1966
215,SUPREME COURT ENCYCLOPAEDIA,R. GOPALAKRISHNAN,282,"R. GOPALAKRISHNAN, NEW DELHI",5,1967
216,SUPREME COURT ENCYCLOPAEDIA,R. GOPALAKRISHNAN,976,"R. GOPALAKRISHNAN, NEW DELHI",3,1966
217,SUPREME COURT ENCYCLOPAEDIA,R. GOPALAKRISHNAN,796,"R. GOPALAKRISHNAN, NEW DELHI",3,1966
218,SUPREME COURT ENCYCLOPAEDIA,R. GOPALAKRISHNAN,412,"R. GOPALAKRISHNAN, NEW DELHI",4,1966
219,गांधी युग पुराण,"DR. SETH GOBIND DAS, DR. OM PRAKASH SHARMA (HINDI)",,"GANDHI YUG PURAN PRAKASHAN SANSTHAN, NEW DELHI",1,1968
220,ASPECTS OF DEMOCRATIC GOVERNMENT POLITICS INDIA,K.R. BOMBWALL AND L.P. CHOUDHARY,631,"ATMA RAM & SONS, DELHI",2,1968
221,रूहानी डायरी,RAY SAHIB MUNSHI RAM (HINDI),288,"RADHASWAMI SATSANG VYAS, AMRITSAR",1,1967
222,LIFE IN NORTH-EASTERN INDIA IN PRE-MAURYAN TIMES,MADAN MOHAN SINGH,308,"MOTILAL BANARSIDASS, DELHI",1,1972
223,ALL INDIA CONGRESS FOR PEACE AND SOLIDARITY,..,88,"K. ISHWARA DUTT, NEW DELHI",5,1968
224,DOCUMENTS 8TH CONGRESS OF THE COMMUNIST PARTY OF INDIA,KARYANANDNAGAR,360,"COMMUNIST PARTY PUBLICATION, DELHI",3,1968
225,भारतीय दर्शन,DR. RADHA KRISHNAN (HINDI),696,RAJPAL & SONS. DELHI,2,1966
226,दिल्ली राजधानियों की नगरी,ASHOK MITRA (HINDI),159,"THOMSON PRESS INDIA LIMITED PRAKASHAN VIBHAG, NEW DELHI",4,1971
227,भारत का संवैधानिक विकास (1600 TO 1947),VISHNU BHAGWAN (HINDI),392,"ATMA RAM & SONS, DELHI",1,1968
228,PARTICIPATIVE MANAGEMENT THE INDIAN EXPERIENCE,K.C. ALEXANDER,132,"SHRI RAM CENTRE FOR INDUSTRIAL RELATIONS AND HUMAN RESOURCES, NEW DELHI",3,1972
229,GUIDE TO THE RECORDS OF DELHI ARCHIVES,DELHI ADMINISTRATION,83,"DEPARTMENT OF DELHI ARCHIVES, DELHI",5,1989
230,MAHARAJA,DIWAN JARMAN DASS,342,"ALLIED PUBLISHERS PRIVATE LIMITED, NEW DELHI",5,1969
231,PRESIDENT ZAKIR HUSAIN,A.G. NOORANI,171,HIND POCKET BOOKS (P.) LTD. DELHI,1,1967
232,भारतीय कला और संस्कृति की भूमिका,BHAGWAT SARAN UPADHYAY (HINDI),255,"RANJIT PRINTERS AND PUBLISHERS, DELHI",4,
233,मॉस्को ताशकंत सद्यन्त्र यात्रा,S.M. MEHANDI (HINDI),44,"CHARANJIT SINGH PASRICHA, PUNJABI PUBLISHERS, JALANDHAR AND NEW DELHI",3,1968
234,IDEAS IN HISTROY,BISHESHWAR PRASAD,351,"ASIA PUBLISHING HOUSE, BOMBAY",5,1968
235,DELEGATED LEGISLATION IN INDIA,…,253,"N.M. TRIPATHI PRIVATE LIMITED, BOMBAY",4,1964
236,DESCRIPTIVE LIST OF PERSIAN CORRESPONDANCE,..,140,"NATIONAL ARCHIVES OF INDIA, NEW DELHI",4,1974
237,एक विधायक राष्ट्र नायक,RAM KUMAR VERMA (HINDI),164,"BHARATI SAHITYA MANDIR, NEW DELHI",2,
238,हमारे वीर सेनानी,SUDARSHAN CHOPRA (HINDI),133,RAJPAL & SONS. DELHI,3,1972
239,नव युवको से,DR. SARVAPALLI RADHA KRISHNAN (HINDI),222,"SUNMARG PRAKASHAN, DELHI",3,1972
240,THE DECISIVE WAR,S.S. SETHI,232,"N.K. SAGAR. SAGAR PUBLICATIONS, NEW DELHI",2,1972
241,युग पुरुष महा पुरुष,KAPIL DEV NARAYAN SINGH (HINDI),136,"SUNMARG PRAKASHAN, DELHI",1,1972
242,SHEIKH ABDULLAH THEN AND NOW,SATISH VASHISHT,234,"NARAYAN DATT MISHRA, DELHI",1,1918
243,मनुष्य की उत्पत्ति और मानव JATIAN,BHUPENDRA NATH SANYAL (HINDI),173,NATIONAL PUBLISHING HOUSE DELHI,1,1967
244,महान क्रांति कारी शिव वर्मा,RAMESH VIDROHI (HINDI),96,"BHAVNA PRAKASHAN, NEW DELHI",3,
245,RECOVERY OF FAITH,DR. S. RADHAKRISHNAN,187,NATIONAL PUBLISHING HOUSE DELHI,5,1968
246,रानी लक्ष्मी बाई,SHRI NIWAS BALAJI HRIDAYKAR,254,NATIONAL PUBLISHING HOUSE DELHI,1,1968
247,POYAM -I-ZINDAGI,..,152,"D.P. SINHA, COMMUNIST PARTY OF INDIA, NEW DELHI",3,
248,RISSALLA JAUHAR,MOULVI ABDUL HAQ,202,DELHI,1,
249,ZEWAR -I- ISLAM,HAZRAT ALAMI -RASHAD ALZABRI,108,METROPLITAN BOOK CO. (PVT.) LTD. DELHI,4,1943
250,GRIFTAR SHUDA KHATUT,K. HASSAN NIZAMI,365,…,5,1944
251,PRACTICE AND PROCEDURE OF PARLIAMENT,"M.N. KAUL, S.L. SHAKDHER",1009,…,4,1968
252,साचित्र विश्व कोष मनुष्य स्वास्थ्य संकलन भाग-1,"M.N. KAUL, S.L. SHAKDHER (HINDI)",98,RAJPAL & SONS. DELHI,1,1967
253,साचित्र विश्व कोष मनुष्य स्वास्थ्य संकलन भाग-2,"M.N. KAUL , S.L. SHAKDHEER",100,RAJPAL & SONS. DELHI,3,1967
254,साचित्र विश्व कोष मनुष्य स्वास्थ्य संकलन भाग-3,"M.N. KAUL , S.L. SHAKDHEER",100,RAJPAL & SONS. DELHI,2,1967
255,साचित्र विश्व कोष मनुष्य स्वास्थ्य संकलन भाग-4,"M.N. KAUL , S.L. SHAKDHEER",100,RAJPAL & SONS. DELHI,2,1967
256,साचित्र विश्व कोष मनुष्य स्वास्थ्य संकलन भाग-5,"M.N. KAUL , S.L. SHAKDHEER",102,RAJPAL & SONS. DELHI,2,1967
257,साचित्र विश्व कोष मनुष्य स्वास्थ्य संकलन भाग-6,"M.N. KAUL , S.L. SHAKDHEER",102,RAJPAL & SONS. DELHI,1,1967
258,साचित्र विश्व कोष मनुष्य स्वास्थ्य संकलन भाग-9,"M.N. KAUL , S.L. SHAKDHEER",102,RAJPAL & SONS. DELHI,4,1967
259,LAW ON SLUM AREAS,DESH BANDHU GUPTA,102,DESHBANDHU GUPTA & CO. NEW DELHI,2,1967
260,INTERACTION OF WOOD SPEICES IN DIFFERENT TYPES OF FOREST,D.D. LAV RINENKO,81,"INDIAN NATIONAL SCIENTIFIC DOCUMENTATION CENTRE, NEW DELHI",2,1966
261,OCEANOGRAPHY IN INDIA (1962-66),…,331,"INDIAN NATIONAL COMMITTEE ON OCEANIC RESEARCH, NEW DELHI",3,1972
262,A SIMPLE STUDY OF LOCAL SELG GOVERNMENT IN INDIA,DR. BAL KRISHAN S. PANDIT,,"SURJEET BOOK DEPOT, DELHI",5,1967
263,JAWAHAR LAL NEHRU,L.N. SARIN,162,S. CHASND & CO. NEW DELHI,2,1966
264,DISCUSSION CONFERENCE AND GROUP PROCESS,MELBERT E. GULBOY,98,AMERIND PUBLISHING CO. PVT. LTD. NEW DELHI,2,1968
265,GITA THE MOTHER,MANU SUBEDAR,374,KALYANI PUBLISHERS LUDHIANA,1,1968
266,STRUGGLE FOR THE HIMALAYAS,S.P. VERMA,318,"UNIVERSITY PUBLISHERS, JULLANDHAR, AMBALA, DELHI",2,1972
267,EXPANSION OF INDO-ARYAN CULTURE,B.CH. CHABRA,342,"MUNSHI RAM MANOHARLL, ORIENTAL PUBLISHERS & BOOKSELLERS, DELHI",2,1965
268,ENCYCLOPEDIA OF AMERICAN HISTORY,RICHARD B. MORRIS,137,"UNIVERSAL BOOK STALL, DELHI",1,1965
269,SANSKRITI AUR JAN JEEVAN,YUDHISTHIR BHARGAV,,RAJPAL & SONS. DELHI,5,
270,CONTRACT LABOUR IN CONSTRUCTION INDUSTRIES,K.N. VAID,282,"SHRI RAM CENTRE FOR INDUSTRIAL RELATIONS, NEW DELHI",4,1966
271,THE FIRST COMMONWEALTH DIVISION,BRIG. C.N. BARCLAY,12,"ARMY PUBLISHERS, DELHI",2,1966
272,INDIA'S POLICY OF RECOGNITION OF STATE GOVERNMENT,K.P. MISRA,223,"ALLIED PUBLISHERS, BOMBAY, NEW DELHI, CALCUTTA, MADRAS",2,1965
273,RASTRA BHASHA KI SAMASYA,डॉ रामबिलास शर्मा,214,"AKSHAR PRAKASHAN PVT. LTD, NEW DELHI",1,1966
274,FAMINES IN INDIA,B.N. BHATIA,389,"ASIA PUBLISHING HOUSE, DELHI",4,1967
275,PAKISTAN HER RELATION WITH INDIA,K.C. SAXENA,267,"VIR PUBLISHING HOUSE, NEW DELHI",4,1966
276,ESSENTIALS OF EARTH HISTORY,WILLIAM LEE STOKES,502,"PRENTICE-HALL OF INDIA (PVT) LTD., NEW DELHI",2,1965
277,THE STORY OF INDIAN ART,S.K. BHATTACHARYA,118,"RAM LAL PURY, ATMA RAM & SONS, DELHI",4,1966
278,MEET THE CHALLENGE,SUDERSHAN K. SAVARA,574,"M/S HARDY & ALLY, DEFENCE OF INDIA SOUVENIR, NEW DELHI",3,1966
279,NEPAL,ALAKH MADHUP,228,"HINDI POCKET BOOKS PVT. LTD, DELHI",3,1966
280,MAKERS OF MODERN INDIA,T.V. PARVATE,160,"UNIVERSITY PUBLISHERS, JULLANDHAR, AMBALA, DELHI",1,1966
281,LAL BAHADUR SHASTRI,MAHAVIR ADHIKARI,144,RAJPAL & SONS. DELHI,3,
282,LALA LAJPAT RAI WRITING AND SPEECHES,VIJAY CHANDRA JOSHI,423,"UNIVERSITY PUBLISHERS, JULLANDHAR, DELHI",1,
283,THE RISE AND GROWTH OF NATIONALISM IN INDIA,BIPAN CHANDRA,144,"PEOPLE'S PUBLISHING HOUSE, NEW DELHI",5,1966
284,A HISTORY OF FAR EAST,CLYDE &BEARS,423,"PRENTICE HALL OF INDIA (PVT) LTD., NEW DELHI",5,1966
285,GAIKWADS AND THE BRITISH,V.K. CHAVDA,783,"UNIVERSITY PUBLISHERS, DELHI JULLUNDUR",2,1966
286,VYAS ABHINANDAN MULYA,SHRI GOPAL PRASAD (HINDI),509,"VYAS SWARN JAYANTI SAMAROH SAMITI, NEW DELHI",5,1966
287,HABSON - JOBSON,WILLIAM CROOK,185,"MUNSHIRAM MANOHARLAL ORIENTAL PUBLISHERS & BOOKSELLERS, DELHI",5,1968
288,KAHANI DAIRY -PART-2,RAI SAHIB MUNSHI RAM (HINDI),400,"RADHASWAMI SATSANG VYAS, AMRITSAR",5,1966
289,SOCIALISM IN INDIA,PREM BHASIN,1021,"RADHASWAMI SATSANG VYAS, AMRITSAR",2,1968
290,PRAMUKH SAMVIDHAN,M.K. BHARGAV (HINDI),371,"YOUNG ASIA PUBLICATIONS, NEW DELHI",4,1968
291,INDIAN MUSLIMS PROBLEMS AND TRENDS,M. FAROOQI,269,NATIONAL PUBLISHING HOUSE DELHI,5,1968
292,SHADOW FROM LADAKH,BHABANI BHATTACHARYA,,"HINDI POCKET BOOKS PVT. LTD, DELHI",1,1972
293,THREE ELEMENTAL PROBLEM OF THE INDAIN CONSTITUTION,P.B MUKERJEE,102,NATIONAL PUBLISHING HOUSE DELHI,4,1972
294,THE MODERN WONDERBOOK OF KNOWLEDGE,…,690,"L.D. DEWAN, ARMY PUBLISHERS, NEW DLEHI",4,1949
295,THE INDIA CHINA BORDER,GONDKER N. RAO,106,"ASIA PUBLISHING HOUSE, BOMBAY",1,1968
296,INDIA AND THE PERSIAN GULF REGION,RAVINDER KUMAR,259,"ASIA PUBLISHING HOUSE, LONDON",2,1965
297,INTERNATIONAL POLITICS SINCE 1900,VIDYA DHAR MAHAJAN,553,"S. CHAND & SONS CO. LTD, NEW DELHI",2,1968
298,"THE INDIAN ECONOMIC AND SOCIAL HISTORY REVIEW, JAN-MARCH 2003, VOL. XL NO.1",,55,SAGE PUBLICATION,2,2003
299,SHIVAJI,BHIMSEN VIDYALANKAR (HINDI),119,RAJPAL & SONS. DELHI,2,1966
300,NEHRU ON EDUCATION,R.P. SINGH,69,STERLING PUBLISHERS (P) LTD.DELHI,2,1966
301,LALA LAJPATRAI WRITING AND SPEECHES,VIJAY CHANDRA JOSHI,511,"UNIVERSITY PUBLISHERS, DELHI -JALUNDHAUR",5,1966
302,ADMINISTRATION AND ORGANISATION OF SCHOOL LIBRARIES IN INDIA,G.L. TEHRAN,291,"STERLING PUBLISHSERS (P) LTD. JULLUNDUR, DELHI",5,1965
303,TOWARDS THE INTEGRATION OF INDIAN STATES 1919-1947,URMILA PHADNIS,297,"P.S. JAYASINGHE, ASIA PUBLISHING HOUSE, BOMBAY",2,1968
304,CATALOGUE ENTRIES AND PROCEDURE,S.S. AGARWAL,455,"N.K. SAGAR, SAGAR PUBLICATIONS, DELHI",1,1972
305,STATE AND LABOUR IN INDIA,K.N.VAID,279,"P.S. JAYASINGHE, ASIA PUBLISHING HOUSE, BOMBAY",3,1965
306,ISSUES IN AMERICAN ECO HISTORY,GERALD D. NASH,552,STERLING PUBLISHERS (P) LTD.DELHI,5,1972
307,NEHRU MARXVAAD,SHAHSI BHUSHAN,159,"STAR PUBLICATIONS, PVT LTD, NEW DELHI",5,1972
308,TEH GREAT UPHEAVAL 69-72,A.M.M ZAIDI,606,"MOID ZAIDI, ORIENTALIA (INDIA), NEW DELHI",5,1972
309,VISHVA KA ITIHAS,NATHENIBAL FLAT,811,EURASIA PUBLISHING HOUSE (P) LTD. NEW DELHI,2,1968
310,CENSUS OF INDIA 1961,BALDEV RAJ,595,DELHI,1,1961
311,NEHRU THE HUMANIST,Dr. GIRIJA K. MUKHERJEE,91,TRIMURTI PUBLICATIONS PRIVATE LIMITED NEW DELHI,2,1972
312,BHARAT KA SAVIDHAN,VISHNU BHAGVAN,364,"ATMARAM & SONS, NEW DELHI",2,1968
313,MEN OF EDUCATION IN INDIA,RAJ K. KHOSLA,364,PREMIER PUBLISHERS (INDIA) NEW DELHI,4,1965
314,CENSUS OF INDIA 1961,BALDEV RAJ,216,"THE SUPERINTENDENT, CENSUS OPERATIONS, DELHI",1,1963
315,SANSKRIT TEXTS FROM IMPRIAL PALACE OF PELKINS-I,PROF Dr LOKESH CHANDRA,256,NEW DELHI,2,1966
316,SANSKRIT TEXTS FROM IMPeRIAL PALACE OF PELKINS-II,PROF Dr LOKESH CHANDRA,512,"THE ADVANCEMENT OF SCIENCE AND CUTURE, NEW DELHI",1,1966
317,SANSKRIT TEXTS FROM IMPRIAL PALACE OF PELKINS-III,PROF Dr LOKESH CHANDRA,768,"THE ADVANCEMENT OF SCIENCE AND CUTURE, NEW DELHI",2,1966
318,SANSKRIT TEXTS FROM IMPRIAL PALACE OF PELKINS-IV,PROF Dr LOKESH CHANDRA,1021,"THE ADVANCEMENT OF SCIENCE AND CUTURE, NEW DELHI",1,1966
319,STUDIES OF INDO ASIAN ART AND CULTURE,PERALA RATNAM,270,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI",4,1972
320,CATALOGUE DO TANYUR MANGAL IMPRIME,ACAD. PROF Dr. RINCHET,739,"INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI",5,1974
321,SANSKRIT MANUSCRIPT FROM JAPAN PART I,PROF Dr. LOKESH CHANDRA,240,"PROF. LOKESH CHANDRA, THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI",4,1972
322,SANDHANA MALA OF THE PANCHAN LAMA PART 1,LOKESH CHANDRA,,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI",4,1974
323,BHAI VEER SINGH ABHINANDAN GRANT,HARBANS SINGH,363,…,1,1954
324,SANDHANA MALA OF THE PANCHAN LAMA PART 1,LOKESH CHANDRA,1036,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI",2,1974
325,KALACHKNA TANTRIA OTHER TEXTS,LOKESH CHANDRA,378,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI",2,1966
326,CATALOGUE DO TANJUR MANGAL IMPRIME,ACAD. PROF. Dr. RINCHET,432,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI",5,1974
327,STUDIES OF INDO ASIAN ART AND CULTURE,PERALA RATNAM,261,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI",5,1974
328,YOTHOKS TREATISEAN TIBETAN MEDICINE,PROF Dr LOKESH CHANDRA,538,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI",3,1968
329,ADVANCING FRONTIERS OF PLANT SCIENCES VOL. 20,PROF Dr LOKESH CHANDRA,208,"IMPEX INDIA, NEW DELHI",2,1968
330,ADVANCING FRONTIERS OF PLANT SCIENCES VOL. 14,PROF Dr LOKESH CHANDRA,218,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI",2,1966
331,ADVANCING FRONTIERS OF PLANT SCIENCES VOL. 17,PROF Dr LOKESH CHANDRA,208,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI",1,1966
332,ADVANCING FRONTIERS OF PLANT SCIENCES VOL. 15,PROF Dr LOKESH CHANDRA,204,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI",5,1966
333,ADVANCING FRONTIERS OF PLANT SCIENCES VOL. 16,PROF Dr LOKESH CHANDRA,203,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI",1,1966
334,SANSKRIT MANUSCRIPT FROM JAPAN PART II,PROF Dr LOKESH CHANDRA,240,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI",2,1972
335,ADVANCING FRONTIERS OF PLANT SCIENCES VOL. 13,PROF Dr LOKESH CHANDRA,198,"INSTITUTE FOR THE ADVANCEMENT OF SCIENCE AND CULTURE, NEW DLEHI",2,1966
336,ADVANCING FRONTIERS OF PLANT SCIENCES VOL. 19,PROF Dr LOKESH CHANDRA,194,"IMPEX INDIA, NEW DELHI",2,1968
337,STUDIES IN SOUTH EAST& CENTRAL ASIA,DENIS SENIOR,276,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI",5,1968
338,JAIMINIYA SRAUTA SUTRA VARTTI,PREM NIDHI SHASTRI,348,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI",5,1966
339,A 15th CENTURY TIBETAN COMPODIUM OF KNOWLEDGE,PROF RAGHU VEER CHANDRA,529,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI",2,1967
340,MANGOLIAN KANJUR VOL. 11,PROF Dr LOKESH CHANDRA,,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI",4,1974
341,MANGOLIAN KANJUR VOL. 12,PROF Dr LOKESH CHANDRA,,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI",2,1974
342,MANGOLIAN KANJUR VOL. 13,PROF Dr LOKESH CHANDRA,,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI",3,1974
343,MANGOLIAN KANJUR VOL. 14,PROF Dr LOKESH CHANDRA,,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI",5,1974
344,MANGOLIAN KANJUR VOL. 15,PROF Dr LOKESH CHANDRA,,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI",1,1974
345,MANGOLIAN KANJUR VOL. 16,PROF Dr LOKESH CHANDRA,,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI",4,1974
346,MANGOLIAN KANJUR VOL. 17,PROF Dr LOKESH CHANDRA,,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI",4,1974
347,MANGOLIAN KANJUR VOL. 18,PROF Dr LOKESH CHANDRA,,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI",2,1974
348,MANGOLIAN KANJUR VOL. 19,PROF Dr LOKESH CHANDRA,,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI",2,1974
349,LINGUISTIC SURVEY OF INDIA PART IV,SIR G A GRIESON,,"SUPERINTENDENT GOVERNMENT PRINTING, CALCUTTA",2,1916
350,THE TANGUT TRIOITAKA PART 7,ERIC GRINSTEAD,,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI & SCANDINAVIAN INSTITUTE OF ASIAN STUDIES, COPENHAGEN",4,
351,THE TANGUT TRIPITAKA PART 5,ERIC GRINSTEAD,,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI & SCANDINAVIAN INSTITUTE OF ASIAN STUDIES, COPENHAGEN",5,
352,THE TANGUT TRIPITAKA PART 6,ERIC GRINSTEAD,,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI & SCANDINAVIAN INSTITUTE OF ASIAN STUDIES, COPENHAGEN",4,
353,THE TANGUT TRIPITAKA PART 7,ERIC GRINSTEAD,,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI & SCANDINAVIAN INSTITUTE OF ASIAN STUDIES, COPENHAGEN",4,
354,THE TANGUT TRIPITAKA PART 8,ERIC GRINSTEAD,,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI & SCANDINAVIAN INSTITUTE OF ASIAN STUDIES, COPENHAGEN",5,
355,THE TANGUT TRIPITAKA PART 9,ERIC GRINSTEAD,,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI & SCANDINAVIAN INSTITUTE OF ASIAN STUDIES, COPENHAGEN",5,
356,HISTORY AND DOCTORINE OF BON PO NISPANNO,DR LOKESH & TENZIN NAMDAK,,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI",2,1968
357,GILGIT BUDDHIST MANUSCRIPTS PART 3,DR LOKESH RAGHUVIRA,,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI",1,1966
358,KALCHAKRA TANTRA OTHER TEXTS PART 2,DR LOKESH RAGHUVIRA,698,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI",4,1966
359,GILGIT BAUDDHIST MANUSCRIPTS PART 4,DR LOKESH RAGHUVIRA,174,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI",1,1966
360,GILGIT BAUDDHIST MANUSCRIPTS PART 6,DR LOKESH RAGHUVIRA,,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI",3,1974
361,GILGIT BUDDHIST MANUSCRIPTS PART 7,DR LOKESH RAGHUVIRA,,"THE INTERNATIONAL ACADEMY OF INDIAN CULTURE, NEW DELHI",5,1974
362,LINGUISTIC SURVEY OF INDIA PART I,SIR G. A. GRIESSON,,"GOVERNMENT OF INDIA, CENTRAL PUBLICATION BRANCH, CALCUTTA",3,1927
363,THE EASTERN ECONOMIST ANNUAL NO.,SIR G. A. GRIESSON,1184,"DEVI PRASAD SHARMA, HINDUSTAN TIMES PRESS, NEW DELHI",4,1958
364,DELHI,RAMESH BAKSHI,90,RAJPAL & SONS. DELHI,3,1972
365,THE LOVE OF BEGUM SUMRAO,SH SHAMSUDDIN,143,"HINDI POCKET BOOKS PVT. LTD, DELHI",2,1967
366,STUDIES IN EUROPEAN CO-OPERATION,C.F. STRICKLAND K.S.,166,"THE SUPERINTENDENT, GOVERNMENT PRINTING, PUNJAB",5,1922
367,DELHI HEALTH DEVELOPMENT PLAN,LT. COL A. N. CHOPRA,116,…,3,1945
368,CENSUS OF INDIA 1951,LAXSHMI CHANDRA VASHISTA,233,"THE SUPERINTENDENT OF CENSUS OPERATIONS, PUNJAB",5,
369,REVIEW OF AGRICULTURE OPERATIONS IN INDIA 1913-1914,R. V. RUSSELL,140,"THE SUPERINTENDENT, GOVERNMENT PRINTING, CALCUTTA",4,1921
370,INDIAN EDUCATION IN 1913-14,R. V. RUSSELL,73,"THE SUPERINTENDENT, GOVERNMENT PRINTING, CALCUTTA",1,1915
371,THE TRIBES AND CASTES OF THE CENTERAL PROVINCES OF INDIA,R. V RUSSELL,540,"MACMILLAN AND CO. LIMITED, LONDON",1,1916
372,INDIA IN 1919,"L.F. RUSHBROOK, WILLIAM",281,"THE SUPERINTENDENT, GOVERNMENT PRINTING, CALCUTTA",4,1920
373,"SINCE INDEPENDENCE AUG 15, 1947",C.F. STRICKLAND K.S.,129,"THE PUBLICATIONS DIVISION, MINISTRY OF INFORMATION AND BROADCASTING, GOVERNMENT OF INDIA",3,1951
374,EUROPEAN TRAVELLERS IN INDIA,OATEM,274,KEGAN PAUL TRENCH TRUBNER AND COMPANY LIMITED DRYDEN HOUSE GERRARD LONDON,5,1909
375,SHRI GEORGE PRASHASTI,PT. PARMANAND PANDEY,189,…,1,
376,THE NINTH YEAR,PT. PARMANAND PANDEY,166,"THE PUBLICATIONS DIVISION, MINISTRY OF INFORMATION AND BROADCASTING, GOVERNMENT OF INDIA",5,1956
377,PLAN FOR AN ALL INDIA MEDICAL INSTITUTE,ADVISORY COMMITTEE,143,"SECRETARY, ADVISORY COMMITTEE, ALL INDIA MEDICAL INSTITUTE, LAHORE",5,
378,THE FIRST FIVE YEAR PLAN,GOVERNMENT OF INDIA PLANNING COMMISION,149,"GOVERNMENT OF INDIA, PLANNING COMMISSION",5,1952
379,REVIEW OF AGRICULTURE OPERATION IN INDIA 1923-24,GOVERNMENT OF INDIA PLANNING COMMISION,152,"GOVERNMENT OF INDIA PRESS, CALCUTTA",2,1925
380,JAWAHAR JUBILEE SOUVENIER,GOVERNMENT OF INDIA PLANNING COMMISION,,…,2,
381,REVIEW OF AGRICULTURE OPERATION IN INDIA 1929-30-31,GOVERNMENT OF INDIA PLANNING COMMISION,350,…,5,
382,SHEIKH SIDIA CORRESPONDENCE,MRIDULA SARABHAI,64,…,1,1956
